parameter_name,Facial Morphology
gene_accession_id,MGI:95576
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Fpgs
pvalue,0.4280258
analysis_id,6i6908v3wz2g175
