parameter_name,Periphery permanence time
gene_accession_id,MGI:1276578
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Gfi1b
analysis_id,378o9wnsfhqa0i3
parameter_id,IMPC_OFD_012_001
pvalue,0.5968828
