analysis_id,1b3hek365nlxicy
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
gene_symbol,Lpgat1
pvalue,0.407955
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
parameter_name,Clavicle
