analysis_id,98q7j88n14ip74h
gene_symbol,Zyg11b
parameter_name,Latency to first transition into dark
pvalue,0.5904663
mouse_strain,C57BL
parameter_id,IMPC_LDT_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
