analysis_id,btu0c95ekv6803n
gene_symbol,Jun
parameter_name,Resting Treg cells - % of Treg
pvalue,0.5948221
gene_accession_id,MGI:96646
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
mouse_life_stage,E15.5
