parameter_name,Hindlimbs - size
gene_symbol,Extl1
mouse_life_stage,Early adult
analysis_id,3u67v3759raz831
gene_accession_id,MGI:1888742
mouse_strain,C57BL
pvalue,0.3901546
parameter_id,JAXLA_CSD_022_001
