gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
pvalue,0.4024542
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
analysis_id,6kt9yhdp3m42193
parameter_name,Monocyte percentage
