parameter_name,Whole arena average speed
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_life_stage,Early adult
pvalue,0.115511
parameter_id,JAX_OFD_009_001
analysis_id,0o7b01g6v57eybx
mouse_strain,C57BL
