parameter_name,Whole arena resting time
pvalue,0.6205595
gene_symbol,Ahctf1
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_007_001
analysis_id,137x711lmt44n72
mouse_strain,C57BL
gene_accession_id,MGI:1915033
