analysis_id,4wjbgtht9j5awex
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
parameter_id,ESLIM_011_001_009
pvalue,0.6100978
