analysis_id,1dhrvq3eq06b342
gene_symbol,Kdm4c
parameter_id,ESLIM_008_001_001
pvalue,0.4669414
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_name,Body position
mouse_life_stage,Early adult
