gene_symbol,Trpa1
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:3522699
analysis_id,8fk77l09695851j
pvalue,0.8766258
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,Early adult
