analysis_id,64di7837yp178r4
mouse_life_stage,Early adult
gene_symbol,Trp53i11
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:2670995
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
pvalue,0.2335899
