gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_id,IMPC_CAL_008_001
pvalue,0.4155521
analysis_id,84o3c7m4a1ecyoh
mouse_life_stage,E18.5
parameter_name,Total food intake
mouse_strain,C57BL
