analysis_id,6g400xy787799gt
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
pvalue,0.3147264
mouse_strain,C57BL
gene_symbol,Mapkap1
