parameter_id,MGP_MLN_033_001
mouse_life_stage,Early adult
pvalue,0.9103867
analysis_id,130v4jmqiap4l1y
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
