analysis_id,52cmgngn5di0k2j
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_074_001
gene_symbol,Rhbg
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
mouse_strain,C57BL
pvalue,0.8438429
