gene_symbol,Npbwr1
gene_accession_id,MGI:891989
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
pvalue,0.7393942
parameter_name,Startle response
mouse_life_stage,Early adult
analysis_id,919j3rtz5d093jy
