analysis_id,4zqprz2e0as4547
parameter_id,IMPC_IMM_006_001
parameter_name,Others
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ap5s1
pvalue,0.514617
gene_accession_id,MGI:1916846
