parameter_name,QT
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2670995
analysis_id,o2cf633x9vo62a2
pvalue,0.5467893
gene_symbol,Trp53i11
parameter_id,IMPC_ECG_028_001
