analysis_id,83vh1246r951m81
gene_accession_id,MGI:1336200
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
pvalue,0.8716538
parameter_name,Snout morphology
