analysis_id,fuo2mo991zu21dr
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Coat - color pattern - back
pvalue,0.8400065
parameter_id,IMPC_CSD_008_001
