analysis_id,gh242vb7e1l3173
gene_accession_id,MGI:1920344
parameter_id,IMPC_GEO_009_002
pvalue,0.4854113
mouse_strain,C57BL
gene_symbol,Sgip1
parameter_name,Hemorrhage
mouse_life_stage,Early adult
