parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
pvalue,0.5961102
analysis_id,xh7c4i8eaxj20z1
