analysis_id,konlfij8n5v27qe
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
parameter_name,Weight
pvalue,0.4065393
gene_symbol,Npbwr1
