gene_symbol,Med22
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.843722
gene_accession_id,MGI:98446
parameter_name,% Pre-pulse inhibition - PPI2
analysis_id,15vr8wp8k4d1n91
parameter_id,IMPC_ACS_034_001
