parameter_id,MGP_PBI_015_001
mouse_life_stage,Late adult
gene_symbol,Frmpd1
analysis_id,lbskko153844ji5
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:2446274
pvalue,0.5179905
mouse_strain,C57BL
