gene_symbol,Pum1
parameter_name,Forebrain
analysis_id,b7d3419r398yl91
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
pvalue,0.3925287
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
