gene_symbol,Kdm4c
analysis_id,d38k45702x86227
parameter_id,IMPC_DXA_003_001
pvalue,0.5181102
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lean mass
gene_accession_id,MGI:1924054
