analysis_id,51f6514x9003jcj
mouse_life_stage,E9.5
parameter_id,JAX_LDT_004_001
gene_symbol,Wars2
pvalue,0.612386
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_name,Dark side time spent
