analysis_id,s18f65p3y23l140
pvalue,0.310988
parameter_id,MGP_PBI_033_001
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
mouse_strain,C57BL
