analysis_id,470mm411d827j29
mouse_strain,C57BL
parameter_name,Glucose response AUC
gene_accession_id,MGI:1913105
parameter_id,ESLIM_004_001_701
pvalue,0.240543
gene_symbol,Slc28a2
mouse_life_stage,Early adult
