parameter_name,Global prepulse inhibition
pvalue,0.6732255
gene_symbol,Bmi1
mouse_life_stage,Early adult
analysis_id,0w9y5dsm9ni9a69
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,ESLIM_011_001_705
