analysis_id,i464861j845s1z1
pvalue,0.3986059
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
mouse_strain,C57BL
