mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
analysis_id,fww13t248ba49f1
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
gene_symbol,AU040320
pvalue,0.5361085
parameter_name,Urea (Blood Urea Nitrogen - BUN)
