gene_symbol,Ssr2
parameter_name,Center average speed
pvalue,0.3774394
gene_accession_id,MGI:1913506
analysis_id,z6v627s4t6i8917
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
