analysis_id,215g3ux7t9j84fe
pvalue,0.9571267
gene_accession_id,MGI:1934811
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Nucks1
