gene_symbol,Sla2
parameter_name,Shape of ribcage
pvalue,0.4940715
parameter_id,IMPC_XRY_059_001
analysis_id,vn5k07568gwyz7x
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925049
