pvalue,2.791594e-06
parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d03753nzi3826el
gene_symbol,Zc2hc1a
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
