Gene_symbol,Gfi1b
Mouse_strain,C57BL
gene_accession_id,MGI:1276578
parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
analysis_id,s7i2tm8k5h6jj5l
Pvalue,0.750887
parameter_id,M-G-P_016_001_006
