analysis_id,88152a74vx602n8
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.4003033
parameter_name,CD8 CD44-CD62L+ T cells
