gene_symbol,Steap3
parameter_id,IMPC_OFD_021_001
analysis_id,4a144kp44g8q1fg
mouse_life_stage,Early adult
parameter_name,Number of rears - total
mouse_strain,C57BL
pvalue,0.676246
gene_accession_id,MGI:1915678
