analysis_id,59qp232szb87591
pvalue,0.6520079
gene_accession_id,MGI:95576
gene_symbol,Fpgs
parameter_name,Midbrain
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
