parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,g53o1hyy7er8w17
pvalue,0.3168148
gene_accession_id,MGI:103302
gene_symbol,Bmp7
