gene_symbol,Kdm5b
parameter_name,Head morphology
gene_accession_id,MGI:1922855
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
analysis_id,43n8jz564x0n19o
pvalue,0.08890692
