gene_symbol,Sgip1
parameter_name,Thyroxine
mouse_strain,C57BL
analysis_id,1eg40n3byz0931n
pvalue,0.4983641
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
parameter_id,IMPC_CBC_053_001
