parameter_name,Humerus
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
gene_symbol,Zyg11b
parameter_id,IMPC_XRY_021_001
analysis_id,4h63r13beo1m33d
pvalue,0.2555118
