parameter_name,Center permanence time
gene_symbol,Kif24
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918345
analysis_id,48xj75t0bff9wer
pvalue,0.9261692
parameter_id,IMPC_OFD_016_001
