analysis_id,0w65o0k8r94w5ys
mouse_strain,C57BL
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
pvalue,0.4811092
