analysis_id,0b9cj8b5tq33tud
pvalue,0.1845238
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
parameter_name,Heart weight
gene_symbol,Rhbg
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
