analysis_id,12eml83sro5zmvn
mouse_strain,C57BL
pvalue,0.05695173
parameter_name,center - resting time
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
parameter_id,M-G-P_007_001_011
gene_symbol,Rhbg
