parameter_name,Edema
mouse_life_stage,Early adult
pvalue,0.8818236
gene_symbol,Kdm4c
analysis_id,78h269okgs6cj7d
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
