parameter_name,Limb grasping
analysis_id,fn76ff78l29jf22
gene_symbol,Cds2
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,129SV
pvalue,0.7428916
parameter_id,ESLIM_008_001_017
