gene_symbol,Arpc2
analysis_id,y04960sa120aphq
gene_accession_id,MGI:1923959
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.2313482
