parameter_name,NK cell number
gene_symbol,Nanp
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
pvalue,0.3245255
mouse_strain,C57BL
analysis_id,97x9309k5jx7g19
gene_accession_id,MGI:1914561
