analysis_id,6oc2b187s8t5264
mouse_strain,C57BL
pvalue,0.9749836
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
gene_symbol,AU040320
