gene_symbol,Casq1
parameter_name,Neutrophil percentage
analysis_id,1m8wtia1kc5lf46
mouse_strain,C57BL
pvalue,0.6685224
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:1309468
