analysis_id,tz76qee10edzd17
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.8644695
gene_accession_id,MGI:88380
