gene_symbol,Ubxn11
parameter_id,IMPC_EYE_016_001
analysis_id,38liahy26821813
parameter_name,Lens
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.06244873
gene_accession_id,MGI:1914836
