gene_symbol,Lurap1
pvalue,0.9811255
parameter_id,MGP_IMM_081_001
gene_accession_id,MGI:1915325
analysis_id,03u693323o187gx
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
