parameter_name,Body position
analysis_id,03v5ny36586mk3m
gene_symbol,Lurap1
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
pvalue,0.6408246
mouse_strain,C57BL
