gene_symbol,Lrrc69
parameter_id,IMPC_EYE_008_001
analysis_id,xgs545fz9542761
mouse_strain,C57BL
gene_accession_id,MGI:1920564
parameter_name,Corneal opacity
mouse_life_stage,Early adult
pvalue,0.5969206
