analysis_id,631kf3b3233pq33
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
pvalue,0.9792488
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
