parameter_name,Mean platelet volume
gene_symbol,Cldn19
parameter_id,IMPC_HEM_019_001
pvalue,0.9340045
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
analysis_id,m83y6zud05n7h44
